"","bd","soc","ph_cacl2","sand","clay","depth","structsize","structtype","surf_geology","province","hzn_desg"
"96061",1.5,0.8,7.699999809,22.7,29.9,15,"medium","subangular blocky","lacustrine sediments","intermountain semi-desert and desert province","Ap"
"43775",1.3,0.2,7.5,16.3,27.9,151.5,"medium","subangular blocky","colluvial sediments, discontinuous","southwest plateau and plains dry steppe and shrub province","Bt"
"92814",1.4,1.1,4.300000191,20.8,24,22.5,"medium","granular","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","AB"
"151255",1.6,0.8,3.700000048,0.8,64.7,73.5,"coarse and very coarse","prismatic","proglacial sediments, mostly fine grained, thin","eastern broadleaf forest (oceanic) province","Bt"
"167621",1.1,3.3,4.400000095,21,27.9,5,"fine and medium","granular","glacial till sediments, mostly silty, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","A"
"183016",0.8,6.2,4.400000095,55.7,1.6,18,"fine and medium","subangular blocky","glacial till sediments, mostly sandy, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","Bhs"
"96880",1.6,0.3,6,40.5,21.3,111.5,"very coarse","prismatic","alluvial sediments, thin","eastern broadleaf forest (continental) province","Bt"
"181348",1.5,0.6,7.5,34.4,28.6,63,"fine","angular blocky","glacial till sediments, mostly silty, thick","eastern broadleaf forest (continental) province","B"
"67928",1.5,1,5.699999809,12.3,13.7,22,"medium","subangular blocky","alluvial sediments, thin","prairie parkland (temperate) province","A"
"135108",1.5,0.8,4.400000095,6,23,34.5,"fine","subangular blocky","glacial till sediments, mostly silty, thick","eastern broadleaf forest (continental) province","B"
"109985",1.4,0.6,6.199999809,78.4,10.5,81.5,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","intermountain semi-desert and desert province","Bt"
"125660",1.4,0.2,4.400000095,7.7,25.1,62,"medium","subangular blocky","residual materials developed in alluvial sediments","eastern broadleaf forest (oceanic) province","Bt"
"155198",1.7,0.3,4,52.3,9.3,78.5,"coarse and very coarse","platy","glacial till sediments, mostly silty, thin","laurentian mixed forest province","Bx"
"19001",1.4,0.5,7.800000191,35,36.8,99,"fine","subangular blocky","alluvial sediments, thick","american semi-desert and desert province","Bk"
"143215",1.4,0.4,7.900000095,26.5,20,137,"coarse","prismatic","eolian sediments, mostly loess, thick","great plains steppe province","C"
"124911",1.5,0.6,5.599999905,9.9,21.3,32.5,"medium","subangular blocky","residual materials developed in alluvial sediments","eastern broadleaf forest (oceanic) province","B"
"108380",0.4,5.3,4.400000095,86.5,4.2,2.5,"very fine and fine","granular","glacial till sediments, mostly sandy, thin","sierran steppe-mixed forest-coniferous forest-alpine meadow province","A"
"39376",1.5,1.1,5.400000095,18.3,16.5,10.5,"medium","granular","residual materials developed in carbonate rocks, discontinuous","eastern broadleaf forest (continental) province","Ap"
"40014",1.4,0.3,6.199999809,19.2,37,114.5,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Bt"
"108780",1.3,2.4,4.900000095,88.2,2.7,6.5,"fine and medium","granular","glacial till sediments, mostly sandy, thin","sierran steppe-mixed forest-coniferous forest-alpine meadow province","A"
"158627",1.8,0.4,3.400000095,40.8,19.9,129.5,"medium and coarse","blocky","glacial till sediments, mostly silty, thin","central appalachian broadleaf forest-coniferous forest-meadow province","Bx"
"69538",1.3,0.7,7.599999905,43.7,23.8,50,"fine","angular blocky","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","B"
"73261",1.4,0.7,7.900000095,33.6,34.4,8,"medium","granular","residual materials developed in sedimentary rocks, discontinuous","colorado plateau semi-desert province","A"
"200299",1.4,1,5.199999809,13.2,13.9,21.5,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","northern rocky mountain forest-steppe-coniferous forest-alpine meadow province","B"
"139994",1.4,0.7,6.300000191,1.2,39.2,47,"medium","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","Bt"
"96236",1.5,0.9,7.800000191,60.8,16.9,16,"fine","subangular blocky","residual materials developed in carbonate rocks, discontinuous","nevada-utah mountains-semi-desert-coniferous forest-alpine meadow province","Bt"
"158758",1.6,0.9,4.099999905,32.4,31.4,32,"medium","subangular blocky","colluvial sediments and residual material","laurentian mixed forest province","B"
"145258",1,1.4,4,61.1,13.9,47,"fine","subangular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bhs"
"122072",1.5,0.9,5.599999905,19.2,12.5,12.5,"medium","subangular blocky","residual materials developed in alluvial sediments","outer coastal plain mixed forest province","Ap"
"116951",1.6,0.4,4.199999809,41,24.8,101.5,"coarse","platy","residual materials developed in igneous and metamorphic rocks","eastern broadleaf forest (oceanic) province","Bx"
"163705",1.7,0.2,5.099999905,57.6,11,77.5,"very fine and fine","subangular blocky","glacial till sediments, mostly sandy, thin","eastern broadleaf forest (oceanic) province","Cd"
"152544",0.9,1.6,7.800000191,50.4,17.2,41.5,"fine","subangular blocky","alluvial sediments, thin","sierran steppe-mixed forest-coniferous forest-alpine meadow province","Bk"
"26067",1.5,0.3,4.400000095,37.8,38.9,145,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","southeastern mixed forest province","B"
"44672",1.3,0.4,4.599999905,71,8.5,100.5,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","central appalachian broadleaf forest-coniferous forest-meadow province","B"
"210844",0.7,3.5,4.099999905,81.4,4.6,4,"fine","granular","proglacial sediments, mostly fine grained, thin","pacific lowland mixed forest province","A"
"20696",1.5,0.9,6,9.6,28.1,39.5,"fine and medium","subangular blocky","alluvial sediments, thin","lower mississippi riverine forest province","B"
"137986",1.6,0.4,5.5,24.5,28.4,79,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"36188",1.5,1.2,5.099999905,13.1,30.9,24,"medium","granular","residual materials developed in bedrock, discontinuous","prairie parkland (subtropical) province","Bt"
"90562",1.5,0.5,6.400000095,4.7,33.9,72,"fine","prismatic","eolian sediments, mostly dune sand, thin","great plains steppe province","Bt"
"166379",1.3,1.7,6.300000191,2.1,51.2,23.5,"very fine and fine","subangular blocky","alluvial sediments, thick","prairie parkland (temperate) province","Ap"
"79293",1,0.8,6.199999809,22.1,36.8,76,"medium","subangular blocky","volcanic rocks, basaltic and andesitic","nevada-utah mountains-semi-desert-coniferous forest-alpine meadow province","Bt"
"126472",1.3,1.2,6.900000095,35.3,21.9,7.5,"fine","granular","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","Ap"
"139850",1.3,1.3,6.099999905,13.3,28.1,26.5,"medium","subangular blocky","eolian sediments, mostly loess, thick","great plains steppe province","AB"
"130811",1.5,0.4,4,3.4,30.5,82.5,"medium","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","Bt"
"29015",1.2,0.1,4.800000191,7.9,73.6,134.5,"medium","subangular blocky","residual materials developed in carbonate rocks, discontinuous","southeastern mixed forest province","Bt"
"67679",1.4,0.3,6,72.3,6,33,"medium","subangular blocky","alluvial sediments, thin","colorado plateau semi-desert province","AC"
"142781",1.5,0.4,3.799999952,15.2,36.1,75,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"126268",1.6,0.6,4.199999809,13.8,18.8,36,"fine and medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","eastern broadleaf forest (oceanic) province","B"
"135865",1.3,0.1,7.5,2.2,35.9,89,"fine","prismatic","alluvial sediments, thin","prairie parkland (temperate) province","B"
"15859",1.3,0.8,7.699999809,70.8,11.8,1.5,"thick","platy","residual materials developed in sedimentary rocks, discontinuous","chihuahuan semi-desert province","A"
"160966",1.6,0.2,5.300000191,79.8,10.2,31,"medium","subangular blocky","eolian sediments, mostly loess, thick","great plains steppe province","B"
"168728",1.4,0.9,6.800000191,18.3,15.6,17.5,"coarse","subangular blocky","eolian sediments, mostly loess, thin","intermountain semi-desert province","Ap"
"90235",1,1.8,4.699999809,41.6,23.8,44.5,"coarse","single grain","residual materials developed in sedimentary rocks, discontinuous","","A"
"193111",1.4,0.5,4.199999809,38.7,16.3,84,"fine and medium","subangular blocky","glacial till sediments, mostly silty, thick","laurentian mixed forest province","B"
"73415",1.5,0.1,7.199999809,1.1,16.8,118,"coarse","prismatic","colluvial sediments, discontinuous","eastern broadleaf forest (continental) province","B"
"88536",1.6,0.2,4.199999809,20.6,41.3,163.5,"medium and coarse","angular blocky","residual materials developed in carbonate rocks, discontinuous","eastern broadleaf forest (continental) province","Bt"
"8847",1.7,0.1,5,92.7,0,96.5,"medium","granular","residual materials developed in alluvial sediments","outer coastal plain mixed forest province","E"
"128614",1.3,3.2,4.400000095,32.8,19.2,8.5,"fine","granular","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","Ap"
"98690",1.8,0.5,3.700000048,1.8,31.3,56,"medium","angular blocky","coastal zone sediments, mostly fine-grained","outer coastal plain mixed forest province","Bt"
"184422",1.3,0.4,5,4.1,31.4,83,"medium","subangular blocky","proglacial sediments, mostly coarse-grained, thin","pacific lowland mixed forest province","B"
"146864",1.5,0.4,8.100000381,40.9,19.8,59.5,"fine","platy","lacustrine sediments","intermountain semi-desert and desert province","Bk"
"25296",1.2,0.8,8.300000191,46.6,37,146,"medium","subangular blocky","eolian sediments on southern high plains","southwest plateau and plains dry steppe and shrub province","B"
"8313",1,0.6,7.300000191,0.1,75.5,189,"medium","subangular blocky","alluvial sediments, thin","lower mississippi riverine forest province","Bt"
"21783",1.3,0.3,4.5,3.3,58.3,67.5,"fine","angular blocky","residual materials developed in carbonate rocks, discontinuous","southeastern mixed forest province","Bt"
"140308",1.4,0.5,4.699999809,4.9,27.2,61,"fine and medium","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","Bt"
"157615",1.3,2.3,6.099999905,5.5,29.8,9,"medium","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","Ap"
"181199",1.1,2.3,6.5,3.6,62.4,2.5,"fine and medium","subangular blocky","eolian sediments, mostly loess, thin","great plains steppe province","Ap"
"61515",1.1,3.1,5,54.3,16.8,4,"fine","granular","residual materials developed in igneous and metamorphic rocks","sierran steppe-mixed forest-coniferous forest-alpine meadow province","A"
"124",1.3,0.3,8,14.2,54.7,165,"medium","angular blocky","coastal zone sediments, mostly fine-grained","southwest plateau and plains dry steppe and shrub province","Bk"
"79172",1.4,0.4,5,12.3,50.4,121,"fine","subangular blocky","residual materials developed in carbonate rocks, discontinuous","eastern broadleaf forest (continental) province","Bx"
"187722",1.2,2,5.5,47.4,17.9,19.5,"medium","granular","residual materials developed in sedimentary rocks, discontinuous","middle rocky mountain steppe-coniferous forest-alpine meadow province","A"
"129345",1.5,0.1,7.699999809,27.7,35.3,144.5,"coarse","prismatic","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","B"
"186709",1.5,0.4,6.5,90.9,4.8,52,"medium","subangular blocky","glacial till sediments, mostly silty, thick","great plains steppe province","C"
"143113",1.3,1.7,5,3.9,26.2,8,"fine","granular","alluvial sediments, thin","prairie parkland (temperate) province","Ap"
"194128",0.8,2.5,5.300000191,45.7,3.8,8,"fine","granular","residual materials developed in igneous and metamorphic rocks","great plains-palouse dry steppe province","B"
"105869",1.5,0.5,7.599999905,14.1,21.4,25,"medium","angular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","Bt"
"210256",1.7,0.5,5,67.7,0.8,50.5,"coarse","subangular blocky","alluvial sediments, thin","northern rocky mountain forest-steppe-coniferous forest-alpine meadow province","B"
"165965",1.6,0.7,7.5,33.7,9.8,76.5,"fine","subangular blocky","glacial till sediments, mostly clayey, thick","eastern broadleaf forest (continental) province","C"
"171198",1.1,3.2,4,56,6.2,21.5,"fine and medium","granular","glacial till sediments, mostly sandy, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","Bhs"
"2708",1.4,1.1,7.400000095,63,20.8,9,"fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","southwest plateau and plains dry steppe and shrub province","A"
"16820",1.6,0.2,7.599999905,3,63.3,76.5,"fine","angular blocky","residual materials developed in carbonate rocks, discontinuous","prairie parkland (subtropical) province","Cd"
"22686",1.4,1.2,7.800000191,44,24.7,29,"medium","subangular blocky","eolian sediments, mostly dune sand, thin","southwest plateau and plains dry steppe and shrub province","Bk"
"195524",1.7,0.5,4.800000191,66.4,14.2,61.5,"medium","subangular blocky","glacial till sediments, mostly silty, thick","laurentian mixed forest province","Bt"
"207674",1.4,0.7,5.199999809,9.7,15.4,30.5,"thin","platy","proglacial sediments, mostly coarse-grained, thin","great plains-palouse dry steppe province","E"
"246",1.5,0.2,7.5,56.8,24.3,87.5,"medium and coarse","angular blocky","coastal zone sediments, mostly fine-grained","southwest plateau and plains dry steppe and shrub province","Bt"
"145204",1.1,1.6,7.5,48.7,12.1,14,"medium","subangular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","B"
"129072",1.5,2.7,3.400000095,50.6,11.2,6.5,"fine","subangular blocky","colluvial sediments and residual material","central appalachian broadleaf forest-coniferous forest-meadow province","A"
"32700",1.9,0.3,4.300000191,67.7,27.8,73,"coarse","platy","residual materials developed in sedimentary rocks, discontinuous","southeastern mixed forest province","Bx"
"93186",1.4,0.5,4.300000191,3.5,30.3,39,"fine","subangular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (continental) province","Bt"
"2142",1.2,0.2,7.800000191,28.3,49.8,167.5,"medium","subangular blocky","coastal zone sediments, mostly fine-grained","southwest plateau and plains dry steppe and shrub province","By"
"60891",1.4,1.5,7.5,16.6,48.3,3.5,"fine","subangular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","A"
"169168",1.3,0.6,6.599999905,78.4,10.9,99,"fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","great plains-palouse dry steppe province","AC"
"143733",1.3,1.5,4.699999809,17.4,27.5,43.5,"medium and coarse","subangular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (oceanic) province","B"
"26278",1.5,0.9,6.800000191,65,14,5.5,"medium","subangular blocky","alluvial sediments, thick","arizona-new mexico mountains semi-desert-open woodland-coniferous forest-alpine meadow province","A"
"19605",1.6,0.1,4.599999905,12.5,40.9,165.5,"medium","subangular blocky","alluvial sediments, thin","southeastern mixed forest province","Bt"
"140255",1.4,0.5,8.100000381,50.5,24.8,45,"medium","prismatic","residual materials developed in sedimentary rocks, discontinuous","great plains-palouse dry steppe province","Bk"
"184186",1.4,0.5,7.400000095,35.1,27.1,85,"fine and medium","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","B"
"92576",1.5,0.3,4.800000191,6.3,26.7,28,"fine","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","Ap"
"160200",1.1,1.4,5.5,13.7,13.4,2.5,"coarse","platy","residual materials developed in igneous and metamorphic rocks","intermountain semi-desert province","A"
"68912",1.2,1,3.700000048,7.4,45,54.5,"fine","granular","residual materials developed in carbonate rocks, discontinuous","prairie parkland (temperate) province","E"
"173970",1.2,0.6,4.099999905,10.8,56.3,103,"medium and coarse","subangular blocky","alluvial sediments, thin","cascade mixed forest-coniferous forest-alpine meadow province","Bt"
"210322",1.2,3.7,6.199999809,52.7,20.1,7.5,"fine","granular","residual materials developed in igneous and metamorphic rocks","great plains-palouse dry steppe province","A"
"123423",1.3,0.3,7.800000191,11.4,55.7,64,"medium","angular blocky","alluvial sediments, thick","california dry steppe province","Bt"
"179055",1.5,1,4.099999905,60.5,3.1,47.5,"medium","subangular blocky","glacial till sediments, mostly sandy, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","B"
"210606",1.6,0.5,7.900000095,33.9,28.9,74.5,"fine and medium","subangular blocky","glacial till sediments, mostly clayey, thick","eastern broadleaf forest (continental) province","C"
"127841",1.3,1.2,5.5,1.4,24.5,76,"medium","subangular blocky","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","B"
"164120",0.8,8.5,5.099999905,1.7,38,59.5,"medium","subangular blocky","proglacial sediments, mostly fine grained, thick","eastern broadleaf forest (oceanic) province","B"
"198704",1.7,0.6,6.800000191,64,17.2,76,"medium","angular blocky","glacial till sediments, mostly silty, thick","eastern broadleaf forest (continental) province","Bt"
"37098",1.4,1.8,5.099999905,36,23.6,5.5,"medium","granular","residual materials developed in igneous and metamorphic rocks","central appalachian broadleaf forest-coniferous forest-meadow province","Ap"
"5545",1.5,0.5,7.800000191,5.9,46.7,94,"medium","angular blocky","alluvial sediments, thin","prairie parkland (subtropical) province","Bk"
"204994",1.5,0.1,4.5,70.7,13.1,163.5,"thin","platy","residual materials developed in fine-grained sedimentary rocks","northern rocky mountain forest-steppe-coniferous forest-alpine meadow province","C"
"168925",1.5,1.3,6.300000191,5.1,30.7,66,"fine","subangular blocky","alluvial sediments, thick","prairie parkland (temperate) province","AB"
"4124",1.4,0.6,7.699999809,24.7,51.7,107,"coarse and very coarse","wedge","coastal zone sediments, mostly fine-grained","prairie parkland (subtropical) province","Bk"
"185102",1.3,2.9,6.400000095,10.1,51.4,11.5,"fine","subangular blocky","proglacial sediments, mostly fine grained, thin","laurentian mixed forest province","Ap"
"113914",1.4,0.3,7.699999809,30.5,21.4,72,"fine and medium","subangular blocky","colluvial sediments and loess","great plains steppe province","Bk"
"16448",0.9,0.8,8.199999809,26.4,41.5,9.5,"fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","chihuahuan semi-desert province","By"
"88202",1.4,1.5,7.599999905,52.9,21.5,5.5,"fine","granular","alluvial sediments, thin","great plains steppe province","A"
"21776",1.2,1.3,4.800000191,6.2,43.6,10,"fine","subangular blocky","residual materials developed in carbonate rocks, discontinuous","southeastern mixed forest province","Ap"
"79833",1.7,0.6,4,61.6,27.5,57.5,"thick","platy","residual materials developed in bedrock, discontinuous","prairie parkland (temperate) province","B"
"189571",1.3,0.6,7.5,48.5,17.1,9,"fine","subangular blocky","glacial till sediments, mostly silty, thick","eastern broadleaf forest (continental) province","Ap"
"204746",1.3,1,4.699999809,30,40.8,31.5,"medium","angular blocky","proglacial sediments, mostly coarse-grained, thin","middle rocky mountain steppe-coniferous forest-alpine meadow province","Bt"
"147252",1.4,0.6,6,4.9,36.4,72.5,"medium","subangular blocky","eolian sediments, mostly loess, thin","prairie parkland (temperate) province","Bt"
"37930",1.2,1.1,4.800000191,18.5,31,18,"medium and coarse","subangular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (oceanic) province","BA"
"28106",1.5,0.2,4,0.9,19.1,145,"medium","subangular blocky","eolian sediments, mostly loess, thin","southeastern mixed forest province","Bx"
"57038",1.7,0.3,4.300000191,70.6,11,6,"fine","granular","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","Ap"
"1451",1.6,0.2,6.199999809,75.3,15.9,103,"coarse","angular blocky","eolian sediments, mostly dune sand, thin","southwest plateau and plains dry steppe and shrub province","Bt"
"136285",1.5,0.6,6.099999905,4.4,22.3,28,"fine","subangular blocky","residual materials developed in bedrock, discontinuous","eastern broadleaf forest (oceanic) province","BA"
"82649",1.5,0.5,3.799999952,13.5,19.4,31.5,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","eastern broadleaf forest (continental) province","A"
"141821",1.4,0.9,6,6.1,42.6,40,"medium","blocky","alluvial sediments, thin","prairie parkland (temperate) province","Bt"
"37485",1.3,1.3,4.099999905,48.1,14.3,28,"fine","subangular blocky","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","B"
"177000",1.4,1.6,6.400000095,19.8,19,12.5,"fine","subangular blocky","colluvial and alluvial sediments","eastern broadleaf forest (continental) province","Ap"
"133788",1.3,1.5,4.599999905,52.6,15.9,42,"fine and medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Bt"
"154494",1.6,0.7,7.800000191,84.9,4.7,15,"very fine and fine","subangular blocky","lacustrine sediments","intermountain semi-desert and desert province","Ap"
"3759",1.6,0.7,6.599999905,80.4,10.1,10.5,"fine","single grain","alluvial sediments, thin","southwest plateau and plains dry steppe and shrub province","Ap"
"146131",1.4,1.8,5.199999809,4.6,44.3,24,"fine","granular","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","A"
"191420",1.1,0.2,5.099999905,18,44.8,157.5,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","pacific lowland mixed forest province","Bt"
"192410",1.4,0.4,4.599999905,12,44.9,86.5,"fine","subangular blocky","residual materials developed in fine-grained sedimentary rocks","cascade mixed forest-coniferous forest-alpine meadow province","Bt"
"138732",1.6,0.2,5.099999905,23.6,25.8,164.5,"coarse","prismatic","residual materials developed in sedimentary rocks, discontinuous","","Bt"
"134326",1,3.3,5.800000191,16,22.2,9,"very fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","","A"
"204818",1.3,0.6,6.699999809,7.9,16.1,90,"medium","subangular blocky","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","B"
"10514",1.5,0.4,6.800000191,3.6,59.2,152.5,"coarse","prismatic","alluvial sediments, thin","outer coastal plain mixed forest province","Bt"
"33728",1.3,0.6,7.800000191,4.3,64.8,22.5,"coarse","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","arizona-new mexico mountains semi-desert-open woodland-coniferous forest-alpine meadow province","Bt"
"158237",1.1,3.5,4.199999809,69.1,5.7,28,"fine and medium","subangular blocky","glacial till sediments, mostly sandy, thin","eastern broadleaf forest (oceanic) province","B"
"158264",1.7,0.7,4.599999905,9.7,27.7,47,"very fine and fine","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","B"
"141663",1.3,1.4,6.699999809,57.9,11.3,2.5,"fine","platy","residual materials developed in carbonate rocks, discontinuous","intermountain semi-desert and desert province","A"
"88237",1.6,0.4,6.300000191,14.5,38.1,156,"medium","subangular blocky","alluvial sediments, thin","prairie parkland (temperate) province","B"
"190708",1.2,3.7,5.599999905,13,44.1,7,"fine","subangular blocky","proglacial sediments, mostly coarse-grained, thin","cascade mixed forest-coniferous forest-alpine meadow province","A"
"175439",1.1,4.8,8.100000381,21.7,9.9,2.5,"very fine","platy","lacustrine sediments","intermountain semi-desert province","A"
"103764",1.5,0.3,5.699999809,8.1,22.5,44.5,"medium","subangular blocky","residual materials developed in alluvial sediments","outer coastal plain mixed forest province","Bt"
"159632",1.5,0.3,6.199999809,64.8,5.7,3,"thick","platy","lacustrine sediments","intermountain semi-desert province","A"
"154847",1.9,0.4,4.099999905,52.1,17.3,58.5,"medium","platy","glacial till sediments, mostly silty, thin","laurentian mixed forest province","E"
"123683",1.7,0.8,4.199999809,85.5,4.4,6.5,"very fine","granular","eolian sediments, mostly dune sand, thin","great plains-palouse dry steppe province","Ap"
"185696",1.1,0.3,4.099999905,43.5,25.2,101,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","cascade mixed forest-coniferous forest-alpine meadow province","B"
"13397",1.4,0.5,5.800000191,49.2,45.5,57,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","southwest plateau and plains dry steppe and shrub province","Bt"
"159047",1.6,0.4,5.599999905,62.7,15.8,150,"coarse","subangular blocky","glaciofluvial ice-contact sediments, mostly sand and gravel, thick","eastern broadleaf forest (continental) province","Bt"
"184646",1,4.4,5.699999809,55.9,4.4,12,"fine and medium","granular","glacial till sediments, mostly sandy, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","A"
"121065",1.5,0.4,4.599999905,1.7,29.8,78.5,"medium","subangular blocky","colluvial sediments, thin","eastern broadleaf forest (continental) province","Bt"
"211092",1.4,1,7.900000095,2.8,49.6,62,"fine","subangular blocky","proglacial sediments, mostly fine grained, thick","prairie parkland (temperate) province","Bk"
"190781",0.9,5.8,5.199999809,14.6,39.8,12,"medium","granular","residual materials developed in sedimentary rocks, discontinuous","cascade mixed forest-coniferous forest-alpine meadow province","A"
"99910",1.6,0.4,5.800000191,35.8,35.2,141.5,"coarse","subangular blocky","alluvial sediments, thick","california dry steppe province","Bt"
"83742",1.5,0.2,4.599999905,27.9,31.8,90,"medium","platy","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","B"
"97941",1.2,1.4,7.699999809,31.6,32.5,7.5,"fine and medium","granular","alluvial sediments, thin","intermountain semi-desert and desert province","Ap"
"129971",1.4,0.4,6.099999905,32.1,26.4,62.5,"medium","blocky","residual materials developed in carbonate rocks, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"151232",1.7,0.9,4,0.8,50.4,95.5,"fine and medium","subangular blocky","proglacial sediments, mostly fine grained, thin","eastern broadleaf forest (oceanic) province","Bt"
"161036",1.4,2.6,5,16.1,25.9,30.5,"medium","granular","proglacial sediments, mostly coarse-grained, thick","eastern broadleaf forest (continental) province","A"
"210827",1.3,1.2,8,30.5,32.8,42,"coarse","subangular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","Bk"
"131073",1.6,0.5,7.199999809,49.3,17.5,187,"coarse","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","B"
"156035",1.4,0.1,4.5,18.8,42.7,134.5,"coarse","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","","Bt"
"29677",1.3,0.2,7.800000191,5.3,45.4,106,"medium","prismatic","residual materials developed in sedimentary rocks, discontinuous","great plains steppe and shrub province","Bt"
"119054",0.9,2.6,4.800000191,48.3,17.1,35,"medium","subangular blocky","residual materials developed in carbonate rocks, discontinuous","sierran steppe-mixed forest-coniferous forest-alpine meadow province","A"
"83310",1.6,0.4,6.099999905,71.6,16.8,59,"medium","subangular blocky","eolian sediments, mostly loess, thin","great plains steppe province","Bt"
"86904",1.5,0.2,4.300000191,88,5.5,22,"fine","granular","eolian sediments, mostly dune sand, thin","great plains steppe province","Ap"
"118266",1.4,2.8,6.900000095,16.8,26.9,6.5,"fine","granular","residual materials developed in sedimentary rocks, thin","prairie parkland (temperate) province","Ap"
"94309",1.5,0.5,8,18.5,40.8,40,"fine","subangular blocky","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","Bt"
"64498",1.5,0.8,5,65.5,16.6,37.5,"coarse","subangular blocky","eolian sediments, mostly loess, thin","great plains steppe province","Ap"
"212711",1.2,0.5,7.900000095,40.8,25.2,49.5,"medium","subangular blocky","glacial till sediments, mostly silty, thin","great plains steppe province","Bk"
"201928",1.4,1.1,4.300000191,46,6.6,18,"fine","granular","glacial till sediments, mostly silty, thin","laurentian mixed forest province","Bhs"
"185886",0.2,10.4,4.599999905,9.8,43.8,3,"medium","granular","proglacial sediments, mostly coarse-grained, thin","pacific lowland mixed forest province","A"
"121829",1.2,0.4,7.900000095,10.3,21.4,198.5,"medium and coarse","prismatic","eolian sediments, mostly loess, thin","great plains steppe province","Bk"
"38736",1.3,1,7.800000191,51.4,20.7,9,"fine","subangular blocky","residual materials developed in fine-grained sedimentary rocks","arizona-new mexico mountains semi-desert-open woodland-coniferous forest-alpine meadow province","B"
"29571",1.4,1.2,3.900000095,1.3,20.3,5,"medium","subangular blocky","eolian sediments, mostly loess, thin","southeastern mixed forest province","Ap"
"112994",1.4,0.4,8.100000381,59.3,10.8,42.5,"fine","subangular blocky","alluvial sediments, thin","intermountain semi-desert and desert province","C"
"97885",1.6,0.2,5.599999905,17.2,21.3,36.5,"coarse","prismatic","alluvial sediments, thin","outer coastal plain mixed forest province","Bt"
"203287",1.1,2.5,7.5,21.7,20.9,2.5,"fine","platy","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","A"
